"","int.name","species","Lake","Month","Year","angler.type","trip.type","length","type","length.cm","length.cat","length.cat2","CPUE","type.2","cat","speciesn"
"1564","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1565","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",185,"harvest",18,"200",18,1.22743682310469,1,"Q","generic"
"1566","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1567","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1568","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1569","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1570","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,1.22743682310469,0,"S","generic"
"1571","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1572","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1573","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1574","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,1.22743682310469,0,"S","generic"
"1575","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",189,"harvest",19,"200",19,1.22743682310469,1,"Q","generic"
"1576","2740.2010-09-10.1105","Bluegill","Merritt","Sep","2010","2","1",186,"harvest",19,"200",19,1.22743682310469,1,"Q","generic"
"1597","2740.2010-09-10.1106","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.445859872611465,0,"S","generic"
"1598","2740.2010-09-10.1106","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.445859872611465,0,"S","generic"
"1599","2740.2010-09-10.1106","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.445859872611465,0,"S","generic"
"1600","2740.2010-09-10.1106","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.445859872611465,0,"S","generic"
"1601","2740.2010-09-10.1106","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.445859872611465,0,"S","generic"
"1602","2740.2010-09-10.1106","Bluegill","Merritt","Sep","2010","2","1",195,"harvest",20,"200",20,0.445859872611465,1,"Q","generic"
"1603","2740.2010-09-10.1106","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.445859872611465,0,"S","generic"
"1606","2740.2010-09-11.1101","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.296052631578947,0,"S","generic"
"1607","2740.2010-09-11.1101","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.296052631578947,0,"S","generic"
"1608","2740.2010-09-11.1101","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.296052631578947,0,"Q","generic"
"1613","2740.2010-09-12.1096","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.216346153846154,0,"Q","generic"
"1614","2740.2010-09-12.1096","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.216346153846154,0,"Q","generic"
"1615","2740.2010-09-12.1096","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.216346153846154,0,"Q","generic"
"1628","2740.2010-09-24.1068","Bluegill","Merritt","Sep","2010","2","1",196,"harvest",20,"200",20,0.233463035019455,1,"Q","generic"
"1629","2740.2010-09-24.1068","Bluegill","Merritt","Sep","2010","2","1",196,"harvest",20,"200",20,0.233463035019455,1,"Q","generic"
"1638","2740.2010-09-24.1072","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.0553505535055351,0,"Q","generic"
"1643","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.27027027027027,0,"S","generic"
"1644","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.27027027027027,0,"Q","generic"
"1645","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.27027027027027,0,"S","generic"
"1646","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.27027027027027,0,"Q","generic"
"1647","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.27027027027027,0,"Q","generic"
"1648","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.27027027027027,0,"S","generic"
"1649","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.27027027027027,0,"Q","generic"
"1650","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.27027027027027,0,"Q","generic"
"1651","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.27027027027027,0,"Q","generic"
"1652","2740.2010-09-25.1057","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.27027027027027,0,"Q","generic"
"1653","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.555555555555556,0,"Q","generic"
"1654","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.555555555555556,0,"S","generic"
"1655","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.555555555555556,0,"S","generic"
"1656","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.555555555555556,0,"S","generic"
"1657","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.555555555555556,0,"Q","generic"
"1658","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.555555555555556,0,"S","generic"
"1659","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.555555555555556,0,"Q","generic"
"1660","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.555555555555556,0,"Q","generic"
"1661","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.555555555555556,0,"S","generic"
"1662","2740.2010-09-25.1058","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.555555555555556,0,"Q","generic"
"1669","2740.2010-09-25.1061","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.268199233716475,0,"S","generic"
"1670","2740.2010-09-25.1061","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.268199233716475,0,"S","generic"
"1671","2740.2010-09-25.1061","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.268199233716475,0,"S","generic"
"1672","2740.2010-09-25.1061","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.268199233716475,0,"Q","generic"
"1673","2740.2010-09-25.1061","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.268199233716475,0,"S","generic"
"1674","2740.2010-09-25.1061","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.268199233716475,0,"Q","generic"
"1675","2740.2010-09-25.1061","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.268199233716475,0,"S","generic"
"1680","2740.2010-09-26.1051","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.177777777777778,0,"Q","generic"
"1681","2740.2010-09-26.1051","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.177777777777778,0,"S","generic"
"1694","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.333333333333333,0,"S","generic"
"1695","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.333333333333333,0,"S","generic"
"1696","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.333333333333333,0,"Q","generic"
"1697","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",150,"harvest",15,"150",15,0.333333333333333,1,"Q","generic"
"1698","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.333333333333333,1,"Q","generic"
"1699","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.333333333333333,0,"Q","generic"
"1700","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.333333333333333,0,"S","generic"
"1701","2740.2010-09-29.1040","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.333333333333333,1,"Q","generic"
"1709","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.756756756756757,0,"S","generic"
"1710","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",80,"release",8,"<125",8,0.756756756756757,0,"S","generic"
"1711","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",190,"harvest",19,"200",19,0.756756756756757,1,"Q","generic"
"1712","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.756756756756757,0,"S","generic"
"1713","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.756756756756757,0,"Q","generic"
"1714","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.756756756756757,0,"S","generic"
"1715","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",175,"release",18,"175",18,0.756756756756757,0,"Q","generic"
"1716","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.756756756756757,0,"Q","generic"
"1717","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",200,"harvest",20,"200",20,0.756756756756757,1,"Q","generic"
"1718","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",194,"harvest",19,"200",19,0.756756756756757,1,"Q","generic"
"1719","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",185,"harvest",18,"200",18,0.756756756756757,1,"Q","generic"
"1720","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",195,"harvest",20,"200",20,0.756756756756757,1,"Q","generic"
"1721","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",150,"release",15,"150",15,0.756756756756757,0,"Q","generic"
"1722","2740.2010-09-30.1032","Bluegill","Merritt","Sep","2010","2","1",189,"harvest",19,"200",19,0.756756756756757,1,"Q","generic"
"1723","2740.2010-09-30.1033","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.330882352941176,1,"Q","generic"
"1724","2740.2010-09-30.1033","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.330882352941176,1,"Q","generic"
"1725","2740.2010-09-30.1033","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.330882352941176,1,"Q","generic"
"1726","2740.2010-09-30.1033","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.330882352941176,1,"Q","generic"
"1727","2740.2010-09-30.1033","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.330882352941176,1,"Q","generic"
"1728","2740.2010-09-30.1033","Bluegill","Merritt","Sep","2010","2","1",175,"harvest",18,"175",18,0.330882352941176,1,"Q","generic"
"1735","2740.2010-09-30.1037","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.0983606557377049,0,"S","generic"
"1736","2740.2010-09-30.1037","Bluegill","Merritt","Sep","2010","2","1",125,"release",12,"125",12,0.0983606557377049,0,"S","generic"
"1745","2740.2010-10-03.1155","Bluegill","Merritt","Oct","2010","1","1",125,"release",12,"125",12,0.5,0,"S","generic"
"1746","2740.2010-10-03.1155","Bluegill","Merritt","Oct","2010","1","1",150,"release",15,"150",15,0.5,0,"Q","generic"
"1747","2740.2010-10-03.1155","Bluegill","Merritt","Oct","2010","1","1",80,"release",8,"<125",8,0.5,0,"S","generic"
"1748","2740.2010-10-03.1155","Bluegill","Merritt","Oct","2010","1","1",125,"release",12,"125",12,0.5,0,"S","generic"
"1751","2740.2010-10-08.1141","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,0.204081632653061,0,"Q","generic"
"1752","2740.2010-10-08.1141","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,0.204081632653061,0,"Q","generic"
"1753","2740.2010-10-08.1141","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,0.204081632653061,0,"S","generic"
"1754","2740.2010-10-08.1141","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,0.204081632653061,0,"S","generic"
"1755","2740.2010-10-08.1142","Bluegill","Merritt","Oct","2010","2","1",175,"release",18,"175",18,0.197802197802198,0,"Q","generic"
"1756","2740.2010-10-08.1142","Bluegill","Merritt","Oct","2010","2","1",175,"release",18,"175",18,0.197802197802198,0,"Q","generic"
"1757","2740.2010-10-08.1142","Bluegill","Merritt","Oct","2010","2","1",175,"release",18,"175",18,0.197802197802198,0,"Q","generic"
"1759","2740.2010-10-08.1144","Bluegill","Merritt","Oct","2010","2","1",80,"release",8,"<125",8,0.181086519114688,0,"S","generic"
"1760","2740.2010-10-08.1144","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,0.181086519114688,0,"S","generic"
"1761","2740.2010-10-08.1144","Bluegill","Merritt","Oct","2010","2","1",80,"release",8,"<125",8,0.181086519114688,0,"S","generic"
"1762","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",80,"release",8,"<125",8,1.35678391959799,0,"S","generic"
"1763","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,1.35678391959799,0,"S","generic"
"1764","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,1.35678391959799,0,"Q","generic"
"1765","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,1.35678391959799,0,"Q","generic"
"1766","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",80,"release",8,"<125",8,1.35678391959799,0,"S","generic"
"1767","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,1.35678391959799,0,"S","generic"
"1768","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",80,"release",8,"<125",8,1.35678391959799,0,"S","generic"
"1769","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,1.35678391959799,0,"Q","generic"
"1770","2740.2010-10-08.1145","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,1.35678391959799,0,"S","generic"
"1803","2740.2010-10-10.1140","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,0.101522842639594,0,"S","generic"
"1814","2740.2010-10-17.1129","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,0.491803278688525,0,"Q","generic"
"1815","2740.2010-10-17.1129","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,0.491803278688525,0,"Q","generic"
"1816","2740.2010-10-17.1129","Bluegill","Merritt","Oct","2010","2","1",80,"release",8,"<125",8,0.491803278688525,0,"S","generic"
"1817","2740.2010-10-17.1129","Bluegill","Merritt","Oct","2010","2","1",150,"release",15,"150",15,0.491803278688525,0,"Q","generic"
"1818","2740.2010-10-17.1129","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,0.491803278688525,0,"S","generic"
"1819","2740.2010-10-17.1129","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,0.491803278688525,0,"S","generic"
"1820","2740.2010-10-17.1129","Bluegill","Merritt","Oct","2010","2","1",125,"release",12,"125",12,0.491803278688525,0,"S","generic"
"1838","2740.2011-05-14.87","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.142857142857143,0,"Q","generic"
"1839","2740.2011-05-20.127","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.0512820512820513,0,"Q","generic"
"1843","2740.2011-05-20.135","Bluegill","Merritt","May","2011","2","1",175,"release",18,"175",18,0.0645161290322581,0,"Q","generic"
"1849","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1850","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1851","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1852","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1853","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1854","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1855","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1856","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1857","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1858","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1859","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1860","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1861","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",200,"release",20,"200",20,0.983606557377049,0,"Q","generic"
"1862","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1863","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1864","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1865","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1866","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1867","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1868","2740.2011-05-25.180","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.983606557377049,0,"Q","generic"
"1884","2740.2011-05-28.201","Bluegill","Merritt","May","2011","2","1",230,"release",23,"230",23,0.0357142857142857,0,"Q","generic"
"1888","2740.2011-05-28.211","Bluegill","Merritt","May","2011","2","1",232,"harvest",23,"255",23,0.046875,1,"Q","generic"
"1889","2740.2011-05-28.211","Bluegill","Merritt","May","2011","2","1",230,"harvest",23,"230",23,0.046875,1,"Q","generic"
"1897","2740.2011-05-28.214","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.125,0,"Q","generic"
"1898","2740.2011-05-28.214","Bluegill","Merritt","May","2011","2","1",150,"release",15,"150",15,0.125,0,"Q","generic"
"1902","2740.2011-05-30.226","Bluegill","Merritt","May","2011","1","1",200,"release",20,"200",20,0.571428571428571,0,"Q","generic"
"1903","2740.2011-05-30.226","Bluegill","Merritt","May","2011","1","1",80,"release",8,"<125",8,0.571428571428571,0,"S","generic"
"1928","2740.2011-06-05.265","Bluegill","Merritt","Jun","2011","2","1",168,"harvest",17,"175",17,0.0615384615384615,1,"Q","generic"
"1929","2740.2011-06-05.269","Bluegill","Merritt","Jun","2011","2","1",125,"release",12,"125",12,0.173913043478261,0,"S","generic"
"1931","2740.2011-06-05.270","Bluegill","Merritt","Jun","2011","2","1",230,"release",23,"230",23,0.08,0,"Q","generic"
"1972","2740.2011-06-09.286","Bluegill","Merritt","Jun","2011","2","1",125,"release",12,"125",12,0.0652173913043478,0,"S","generic"
"1980","2740.2011-06-09.301","Bluegill","Merritt","Jun","2011","2","1",175,"release",18,"175",18,0.125,0,"Q","generic"
"1981","2740.2011-06-09.301","Bluegill","Merritt","Jun","2011","2","1",150,"release",15,"150",15,0.125,0,"Q","generic"
"1986","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1987","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1988","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1989","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1990","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1991","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1992","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1993","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1994","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1995","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1996","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1997","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1998","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"1999","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"2000","2740.2011-06-10.305","Bluegill","Merritt","Jun","2011","2","1",80,"release",8,"<125",8,0.384615384615385,0,"S","generic"
"2078","2740.2011-06-15.334","Bluegill","Merritt","Jun","2011","2","1",230,"harvest",23,"230",23,0.315789473684211,1,"Q","generic"
"2079","2740.2011-06-15.334","Bluegill","Merritt","Jun","2011","2","1",255,"harvest",26,"255",26,0.315789473684211,1,"Q","generic"
"2080","2740.2011-06-15.334","Bluegill","Merritt","Jun","2011","2","1",240,"harvest",24,"255",24,0.315789473684211,1,"Q","generic"
"2293","2740.2011-06-26.416","Bluegill","Merritt","Jun","2011","2","1",186,"harvest",19,"200",19,1.14285714285714,1,"Q","generic"
"2294","2740.2011-06-26.416","Bluegill","Merritt","Jun","2011","2","1",194,"harvest",19,"200",19,1.14285714285714,1,"Q","generic"
"2295","2740.2011-06-26.416","Bluegill","Merritt","Jun","2011","2","1",186,"harvest",19,"200",19,1.14285714285714,1,"Q","generic"
"2296","2740.2011-06-26.416","Bluegill","Merritt","Jun","2011","2","1",189,"harvest",19,"200",19,1.14285714285714,1,"Q","generic"
"2463","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",80,"release",8,"<125",8,1.2,0,"S","generic"
"2464","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",125,"release",12,"125",12,1.2,0,"S","generic"
"2465","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",125,"release",12,"125",12,1.2,0,"S","generic"
"2466","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",125,"release",12,"125",12,1.2,0,"S","generic"
"2467","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",125,"release",12,"125",12,1.2,0,"S","generic"
"2468","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",80,"release",8,"<125",8,1.2,0,"S","generic"
"2469","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",80,"release",8,"<125",8,1.2,0,"S","generic"
"2470","2740.2011-07-11.483","Bluegill","Merritt","Jul","2011","2","1",80,"release",8,"<125",8,1.2,0,"S","generic"
"2513","2740.2011-07-16.497","Bluegill","Merritt","Jul","2011","2","1",80,"release",8,"<125",8,0.105263157894737,0,"S","generic"
"2712","2740.2011-07-20.531","Bluegill","Merritt","Jul","2011","2","1",125,"release",12,"125",12,0.12,0,"S","generic"
"2728","2740.2011-07-20.572","Bluegill","Merritt","Jul","2011","2","1",150,"release",15,"150",15,1.25,0,"Q","generic"
"2729","2740.2011-07-20.572","Bluegill","Merritt","Jul","2011","2","1",150,"release",15,"150",15,1.25,0,"Q","generic"
"2730","2740.2011-07-20.572","Bluegill","Merritt","Jul","2011","2","1",150,"release",15,"150",15,1.25,0,"Q","generic"
"2731","2740.2011-07-20.572","Bluegill","Merritt","Jul","2011","2","1",150,"release",15,"150",15,1.25,0,"Q","generic"
"2732","2740.2011-07-20.572","Bluegill","Merritt","Jul","2011","2","1",150,"release",15,"150",15,1.25,0,"Q","generic"
"2821","2740.2011-07-26.564","Bluegill","Merritt","Jul","2011","2","1",150,"release",15,"150",15,0.0902255639097744,0,"Q","generic"
"2822","2740.2011-07-26.564","Bluegill","Merritt","Jul","2011","2","1",150,"release",15,"150",15,0.0902255639097744,0,"Q","generic"
"2970","2740.2011-07-30.589","Bluegill","Merritt","Jul","2011","2","1",80,"release",8,"<125",8,0.04,0,"S","generic"
"2971","2740.2011-07-30.589","Bluegill","Merritt","Jul","2011","2","1",80,"release",8,"<125",8,0.04,0,"S","generic"
"3078","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",181,"harvest",18,"200",18,0.838709677419355,1,"Q","generic"
"3079","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",125,"release",12,"125",12,0.838709677419355,0,"S","generic"
"3080","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",125,"release",12,"125",12,0.838709677419355,0,"S","generic"
"3081","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",125,"release",12,"125",12,0.838709677419355,0,"S","generic"
"3082","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",178,"harvest",18,"200",18,0.838709677419355,1,"Q","generic"
"3083","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",125,"release",12,"125",12,0.838709677419355,0,"S","generic"
"3084","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",125,"release",12,"125",12,0.838709677419355,0,"S","generic"
"3085","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",186,"harvest",19,"200",19,0.838709677419355,1,"Q","generic"
"3086","2740.2011-08-06.612","Bluegill","Merritt","Aug","2011","1","1",166,"harvest",17,"175",17,0.838709677419355,1,"Q","generic"
